"Kód obce" Obec "Voliči v seznamu" "Vydané obálky" "Platné hlasy" Strana/název Celkem
506761 Alojzov 205 145 144 "Občanská demokratická strana" 29
506761 Alojzov 205 145 144 "Řád národa - Vlastenecká unie" 0
506761 Alojzov 205 145 144 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
506761 Alojzov 205 145 144 "Česká str.sociálně demokrat." 9
506761 Alojzov 205 145 144 "Radostné Česko" 0
506761 Alojzov 205 145 144 "STAROSTOVÉ A NEZÁVISLÍ" 5
506761 Alojzov 205 145 144 "Komunistická str.Čech a Moravy" 17
506761 Alojzov 205 145 144 "Strana zelených" 4
506761 Alojzov 205 145 144 "ROZUMNÍ-stop migraci,diktát.EU" 1
506761 Alojzov 205 145 144 "Strana svobodných občanů" 1
506761 Alojzov 205 145 144 "Blok proti islam.-Obran.domova" 0
506761 Alojzov 205 145 144 "Občanská demokratická aliance" 0
506761 Alojzov 205 145 144 "Česká pirátská strana" 18
589268 Bedihošť 834 527 524 "Občanská demokratická strana" 51
589268 Bedihošť 834 527 524 "Řád národa - Vlastenecká unie" 0
589268 Bedihošť 834 527 524 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589268 Bedihošť 834 527 524 "Česká str.sociálně demokrat." 28
589268 Bedihošť 834 527 524 "Radostné Česko" 1
589268 Bedihošť 834 527 524 "STAROSTOVÉ A NEZÁVISLÍ" 13
589268 Bedihošť 834 527 524 "Komunistická str.Čech a Moravy" 123
589268 Bedihošť 834 527 524 "Strana zelených" 2
589268 Bedihošť 834 527 524 "ROZUMNÍ-stop migraci,diktát.EU" 2
589268 Bedihošť 834 527 524 "Strana svobodných občanů" 14
589268 Bedihošť 834 527 524 "Blok proti islam.-Obran.domova" 1
589268 Bedihošť 834 527 524 "Občanská demokratická aliance" 0
589268 Bedihošť 834 527 524 "Česká pirátská strana" 34
589276 Bílovice-Lutotín 431 279 275 "Občanská demokratická strana" 13
589276 Bílovice-Lutotín 431 279 275 "Řád národa - Vlastenecká unie" 0
589276 Bílovice-Lutotín 431 279 275 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589276 Bílovice-Lutotín 431 279 275 "Česká str.sociálně demokrat." 32
589276 Bílovice-Lutotín 431 279 275 "Radostné Česko" 0
589276 Bílovice-Lutotín 431 279 275 "STAROSTOVÉ A NEZÁVISLÍ" 8
589276 Bílovice-Lutotín 431 279 275 "Komunistická str.Čech a Moravy" 40
589276 Bílovice-Lutotín 431 279 275 "Strana zelených" 1
589276 Bílovice-Lutotín 431 279 275 "ROZUMNÍ-stop migraci,diktát.EU" 0
589276 Bílovice-Lutotín 431 279 275 "Strana svobodných občanů" 4
589276 Bílovice-Lutotín 431 279 275 "Blok proti islam.-Obran.domova" 0
589276 Bílovice-Lutotín 431 279 275 "Občanská demokratická aliance" 0
589276 Bílovice-Lutotín 431 279 275 "Česká pirátská strana" 30
589284 Biskupice 238 132 131 "Občanská demokratická strana" 14
589284 Biskupice 238 132 131 "Řád národa - Vlastenecká unie" 0
589284 Biskupice 238 132 131 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589284 Biskupice 238 132 131 "Česká str.sociálně demokrat." 9
589284 Biskupice 238 132 131 "Radostné Česko" 0
589284 Biskupice 238 132 131 "STAROSTOVÉ A NEZÁVISLÍ" 5
589284 Biskupice 238 132 131 "Komunistická str.Čech a Moravy" 24
589284 Biskupice 238 132 131 "Strana zelených" 2
589284 Biskupice 238 132 131 "ROZUMNÍ-stop migraci,diktát.EU" 1
589284 Biskupice 238 132 131 "Strana svobodných občanů" 1
589284 Biskupice 238 132 131 "Blok proti islam.-Obran.domova" 0
589284 Biskupice 238 132 131 "Občanská demokratická aliance" 0
589284 Biskupice 238 132 131 "Česká pirátská strana" 10
589292 Bohuslavice 376 236 236 "Občanská demokratická strana" 20
589292 Bohuslavice 376 236 236 "Řád národa - Vlastenecká unie" 0
589292 Bohuslavice 376 236 236 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589292 Bohuslavice 376 236 236 "Česká str.sociálně demokrat." 23
589292 Bohuslavice 376 236 236 "Radostné Česko" 0
589292 Bohuslavice 376 236 236 "STAROSTOVÉ A NEZÁVISLÍ" 3
589292 Bohuslavice 376 236 236 "Komunistická str.Čech a Moravy" 22
589292 Bohuslavice 376 236 236 "Strana zelených" 3
589292 Bohuslavice 376 236 236 "ROZUMNÍ-stop migraci,diktát.EU" 4
589292 Bohuslavice 376 236 236 "Strana svobodných občanů" 6
589292 Bohuslavice 376 236 236 "Blok proti islam.-Obran.domova" 0
589292 Bohuslavice 376 236 236 "Občanská demokratická aliance" 1
589292 Bohuslavice 376 236 236 "Česká pirátská strana" 17
589306 Bousín 107 67 67 "Občanská demokratická strana" 5
589306 Bousín 107 67 67 "Řád národa - Vlastenecká unie" 0
589306 Bousín 107 67 67 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589306 Bousín 107 67 67 "Česká str.sociálně demokrat." 4
589306 Bousín 107 67 67 "Radostné Česko" 0
589306 Bousín 107 67 67 "STAROSTOVÉ A NEZÁVISLÍ" 3
589306 Bousín 107 67 67 "Komunistická str.Čech a Moravy" 14
589306 Bousín 107 67 67 "Strana zelených" 0
589306 Bousín 107 67 67 "ROZUMNÍ-stop migraci,diktát.EU" 2
589306 Bousín 107 67 67 "Strana svobodných občanů" 0
589306 Bousín 107 67 67 "Blok proti islam.-Obran.domova" 0
589306 Bousín 107 67 67 "Občanská demokratická aliance" 0
589306 Bousín 107 67 67 "Česká pirátská strana" 7
589314 "Brodek u Konice" 695 460 460 "Občanská demokratická strana" 25
589314 "Brodek u Konice" 695 460 460 "Řád národa - Vlastenecká unie" 0
589314 "Brodek u Konice" 695 460 460 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589314 "Brodek u Konice" 695 460 460 "Česká str.sociálně demokrat." 32
589314 "Brodek u Konice" 695 460 460 "Radostné Česko" 0
589314 "Brodek u Konice" 695 460 460 "STAROSTOVÉ A NEZÁVISLÍ" 20
589314 "Brodek u Konice" 695 460 460 "Komunistická str.Čech a Moravy" 47
589314 "Brodek u Konice" 695 460 460 "Strana zelených" 3
589314 "Brodek u Konice" 695 460 460 "ROZUMNÍ-stop migraci,diktát.EU" 4
589314 "Brodek u Konice" 695 460 460 "Strana svobodných občanů" 5
589314 "Brodek u Konice" 695 460 460 "Blok proti islam.-Obran.domova" 0
589314 "Brodek u Konice" 695 460 460 "Občanská demokratická aliance" 0
589314 "Brodek u Konice" 695 460 460 "Česká pirátská strana" 38
589322 "Brodek u Prostějova" 1 224 656 655 "Občanská demokratická strana" 54
589322 "Brodek u Prostějova" 1 224 656 655 "Řád národa - Vlastenecká unie" 0
589322 "Brodek u Prostějova" 1 224 656 655 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589322 "Brodek u Prostějova" 1 224 656 655 "Česká str.sociálně demokrat." 42
589322 "Brodek u Prostějova" 1 224 656 655 "Radostné Česko" 0
589322 "Brodek u Prostějova" 1 224 656 655 "STAROSTOVÉ A NEZÁVISLÍ" 21
589322 "Brodek u Prostějova" 1 224 656 655 "Komunistická str.Čech a Moravy" 61
589322 "Brodek u Prostějova" 1 224 656 655 "Strana zelených" 5
589322 "Brodek u Prostějova" 1 224 656 655 "ROZUMNÍ-stop migraci,diktát.EU" 4
589322 "Brodek u Prostějova" 1 224 656 655 "Strana svobodných občanů" 11
589322 "Brodek u Prostějova" 1 224 656 655 "Blok proti islam.-Obran.domova" 1
589322 "Brodek u Prostějova" 1 224 656 655 "Občanská demokratická aliance" 2
589322 "Brodek u Prostějova" 1 224 656 655 "Česká pirátská strana" 57
589331 Březsko 178 111 111 "Občanská demokratická strana" 9
589331 Březsko 178 111 111 "Řád národa - Vlastenecká unie" 1
589331 Březsko 178 111 111 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589331 Březsko 178 111 111 "Česká str.sociálně demokrat." 9
589331 Březsko 178 111 111 "Radostné Česko" 0
589331 Březsko 178 111 111 "STAROSTOVÉ A NEZÁVISLÍ" 6
589331 Březsko 178 111 111 "Komunistická str.Čech a Moravy" 3
589331 Březsko 178 111 111 "Strana zelených" 0
589331 Březsko 178 111 111 "ROZUMNÍ-stop migraci,diktát.EU" 3
589331 Březsko 178 111 111 "Strana svobodných občanů" 1
589331 Březsko 178 111 111 "Blok proti islam.-Obran.domova" 0
589331 Březsko 178 111 111 "Občanská demokratická aliance" 0
589331 Březsko 178 111 111 "Česká pirátská strana" 10
589349 Budětsko 331 208 206 "Občanská demokratická strana" 6
589349 Budětsko 331 208 206 "Řád národa - Vlastenecká unie" 0
589349 Budětsko 331 208 206 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589349 Budětsko 331 208 206 "Česká str.sociálně demokrat." 24
589349 Budětsko 331 208 206 "Radostné Česko" 0
589349 Budětsko 331 208 206 "STAROSTOVÉ A NEZÁVISLÍ" 6
589349 Budětsko 331 208 206 "Komunistická str.Čech a Moravy" 22
589349 Budětsko 331 208 206 "Strana zelených" 1
589349 Budětsko 331 208 206 "ROZUMNÍ-stop migraci,diktát.EU" 3
589349 Budětsko 331 208 206 "Strana svobodných občanů" 2
589349 Budětsko 331 208 206 "Blok proti islam.-Obran.domova" 0
589349 Budětsko 331 208 206 "Občanská demokratická aliance" 0
589349 Budětsko 331 208 206 "Česká pirátská strana" 7
589357 Buková 264 170 169 "Občanská demokratická strana" 16
589357 Buková 264 170 169 "Řád národa - Vlastenecká unie" 0
589357 Buková 264 170 169 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589357 Buková 264 170 169 "Česká str.sociálně demokrat." 19
589357 Buková 264 170 169 "Radostné Česko" 0
589357 Buková 264 170 169 "STAROSTOVÉ A NEZÁVISLÍ" 3
589357 Buková 264 170 169 "Komunistická str.Čech a Moravy" 33
589357 Buková 264 170 169 "Strana zelených" 2
589357 Buková 264 170 169 "ROZUMNÍ-stop migraci,diktát.EU" 0
589357 Buková 264 170 169 "Strana svobodných občanů" 3
589357 Buková 264 170 169 "Blok proti islam.-Obran.domova" 0
589357 Buková 264 170 169 "Občanská demokratická aliance" 0
589357 Buková 264 170 169 "Česká pirátská strana" 14
589365 Čehovice 426 281 280 "Občanská demokratická strana" 16
589365 Čehovice 426 281 280 "Řád národa - Vlastenecká unie" 0
589365 Čehovice 426 281 280 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589365 Čehovice 426 281 280 "Česká str.sociálně demokrat." 27
589365 Čehovice 426 281 280 "Radostné Česko" 0
589365 Čehovice 426 281 280 "STAROSTOVÉ A NEZÁVISLÍ" 8
589365 Čehovice 426 281 280 "Komunistická str.Čech a Moravy" 42
589365 Čehovice 426 281 280 "Strana zelených" 5
589365 Čehovice 426 281 280 "ROZUMNÍ-stop migraci,diktát.EU" 7
589365 Čehovice 426 281 280 "Strana svobodných občanů" 5
589365 Čehovice 426 281 280 "Blok proti islam.-Obran.domova" 0
589365 Čehovice 426 281 280 "Občanská demokratická aliance" 0
589365 Čehovice 426 281 280 "Česká pirátská strana" 18
589381 "Čechy pod Kosířem" 814 512 512 "Občanská demokratická strana" 25
589381 "Čechy pod Kosířem" 814 512 512 "Řád národa - Vlastenecká unie" 1
589381 "Čechy pod Kosířem" 814 512 512 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589381 "Čechy pod Kosířem" 814 512 512 "Česká str.sociálně demokrat." 66
589381 "Čechy pod Kosířem" 814 512 512 "Radostné Česko" 1
589381 "Čechy pod Kosířem" 814 512 512 "STAROSTOVÉ A NEZÁVISLÍ" 20
589381 "Čechy pod Kosířem" 814 512 512 "Komunistická str.Čech a Moravy" 79
589381 "Čechy pod Kosířem" 814 512 512 "Strana zelených" 7
589381 "Čechy pod Kosířem" 814 512 512 "ROZUMNÍ-stop migraci,diktát.EU" 7
589381 "Čechy pod Kosířem" 814 512 512 "Strana svobodných občanů" 6
589381 "Čechy pod Kosířem" 814 512 512 "Blok proti islam.-Obran.domova" 0
589381 "Čechy pod Kosířem" 814 512 512 "Občanská demokratická aliance" 0
589381 "Čechy pod Kosířem" 814 512 512 "Česká pirátská strana" 31
589390 Čelčice 437 272 272 "Občanská demokratická strana" 21
589390 Čelčice 437 272 272 "Řád národa - Vlastenecká unie" 0
589390 Čelčice 437 272 272 "CESTA ODPOVĚDNÉ SPOLEČNOSTI" 0
589390 Čelčice 437 272 272 "Česká str.sociálně demokrat." 23
589390 Čelčice 437 272 272 "Radostné Česko" 1
